107.331	108.526	108.597	109.459	109.802	110.657	110.464	111.698	107.290	108.734	108.572	109.384	109.484	110.643	110.335	111.720	108.184	109.158	103.209	103.943	110.180	111.437	111.311	106.616	108.045	103.482	109.062	110.050	110.200	105.896	105.537	106.551	92.576	93.848	93.428	94.904	95.172	96.926	96.495	97.749	92.532	93.830	93.626	95.007	95.100	96.156	96.375	97.709	32.459	31.900	32.409	29.673	NA	30.860	30.491	31.246	93.438	95.260	94.895	89.350	97.759	91.074	90.781	98.227	277.709	279.432	279.067	269.499	277.130	278.574	280.604	279.875	277.759	276.578	279.412	280.704	277.856	281.707	279.823	280.282	281.118	282.929	282.371	281.259	281.169	282.465	284.674	283.546	279.100	280.535	280.731	281.718	281.806	283.695	285.282	286.798	283.792	281.706	283.433	285.852	283.098	284.443	286.427	287.534	280.374	283.603	284.885	286.240	286.139	287.389	287.209	288.795	287.041	286.255	288.137	286.971	287.153	288.564	290.941	292.506	285.656	286.946	288.944	287.977	290.593	289.134	291.788	289.953
108.816	109.789	109.531	110.853	110.947	112.199	111.906	113.102	109.017	109.812	109.588	110.823	110.961	112.265	111.915	113.157	109.259	110.631	110.343	111.738	111.890	107.122	112.664	108.359	103.469	110.618	104.311	105.762	111.753	107.138	106.933	113.892	93.771	95.154	94.611	96.394	96.787	97.678	97.792	98.097	93.490	95.230	94.901	96.417	96.821	97.887	97.747	98.082	32.316	29.467	31.108	30.432	30.897	NA	32.097	33.111	88.190	97.329	89.367	90.834	97.955	98.129	98.181	98.327	278.838	277.506	280.116	281.698	281.640	280.078	279.505	283.191	279.767	281.251	280.683	278.963	281.991	280.978	280.285	283.845	280.056	283.892	283.732	284.962	282.877	286.480	286.314	288.052	283.296	282.628	284.490	285.738	283.540	285.146	286.722	285.935	284.549	285.908	282.756	284.804	284.351	285.870	287.280	288.791	285.015	286.706	285.971	287.996	285.106	288.358	288.141	290.044	286.167	290.336	287.338	288.615	288.799	290.226	289.820	291.199	289.631	288.327	290.552	289.271	291.446	293.803	293.347	294.942
108.680	109.404	109.233	110.503	110.996	111.906	111.523	112.764	108.665	109.621	109.325	110.532	110.581	111.875	111.545	112.745	103.257	104.306	103.888	105.518	105.639	112.609	112.307	113.566	108.897	110.248	103.853	105.520	111.349	106.829	112.403	107.874	93.478	94.969	94.377	96.054	96.357	97.480	97.716	98.063	93.463	94.897	94.251	95.970	96.160	97.495	97.665	98.000	32.397	28.890	31.531	29.984	30.518	32.012	NA	32.658	87.306	89.167	89.032	97.794	90.750	92.063	91.662	98.351	278.291	277.286	280.051	278.421	278.221	282.286	281.545	281.060	278.777	280.912	280.188	278.882	281.527	282.905	282.262	283.475	279.922	281.283	283.576	282.425	284.980	285.967	283.300	284.871	283.039	281.801	283.981	282.951	285.468	284.823	286.530	285.358	281.608	285.672	282.619	286.250	286.219	287.605	285.054	288.556	284.659	283.570	283.908	284.790	286.890	289.361	286.958	287.560	288.442	287.596	289.586	290.769	290.807	289.919	292.195	294.051	289.189	290.451	290.238	291.479	289.013	290.730	290.406	294.596
109.326	110.515	110.579	111.541	112.057	112.910	112.646	114.117	109.551	110.888	110.289	111.519	112.063	113.092	112.923	113.823	110.219	111.641	111.383	106.588	106.781	108.110	107.838	108.824	104.113	111.621	105.343	112.595	112.785	108.153	113.799	115.014	94.811	96.304	95.473	97.339	97.230	98.162	98.074	98.892	94.479	96.727	95.938	97.334	97.246	98.128	98.090	98.950	28.615	30.396	29.860	31.261	31.286	33.128	32.682	NA	89.421	97.839	90.651	91.870	92.112	93.347	98.434	100.169	277.548	279.060	281.372	282.976	282.291	283.761	280.897	282.495	280.212	282.163	279.746	283.479	280.556	284.133	283.928	283.038	281.658	285.042	284.887	286.059	283.795	287.263	287.086	286.754	281.893	283.610	285.503	284.667	284.664	286.115	287.652	287.128	273.412	284.628	285.116	285.460	286.050	288.636	287.503	287.555	283.980	285.303	286.098	286.042	286.431	289.233	287.245	290.864	288.524	291.280	289.746	290.326	291.614	292.658	291.385	292.153	288.986	291.456	290.485	290.351	292.509	291.615	292.196	293.049
105.315	106.704	105.944	108.178	108.076	109.146	108.039	109.813	104.878	106.769	105.946	108.003	108.070	108.319	108.920	109.006	99.394	107.535	107.341	108.480	108.584	103.214	102.698	103.608	99.337	107.565	107.285	108.622	101.929	109.667	109.472	103.613	89.882	91.215	90.987	92.211	92.378	93.727	93.513	94.759	89.949	91.412	90.972	92.245	92.343	93.509	93.412	94.726	85.020	92.139	86.039	86.250	93.502	88.126	87.311	95.852	NA	32.412	32.381	32.490	32.474	32.096	32.408	28.530	274.743	275.327	276.065	276.201	277.776	278.876	278.627	280.151	275.564	276.745	276.238	278.098	276.999	279.697	277.817	280.052	278.292	279.054	279.781	280.061	281.032	282.582	282.170	283.159	278.325	279.404	279.330	281.372	281.801	283.315	282.847	283.256	278.398	280.829	279.710	280.773	281.957	284.545	283.169	282.606	279.947	282.479	281.153	281.139	283.142	284.004	283.903	284.672	283.372	284.626	284.886	286.612	286.628	287.708	287.366	288.929	284.225	285.291	285.287	286.959	286.977	287.487	287.619	288.913
106.471	108.391	107.585	109.019	108.870	109.839	109.528	110.731	106.774	108.382	107.601	108.981	108.883	110.183	109.895	110.698	107.467	108.722	102.365	109.746	103.503	104.821	104.294	111.998	107.469	102.484	108.509	109.636	103.540	104.805	110.713	105.677	91.416	92.530	92.442	93.625	93.796	95.198	94.959	96.457	91.405	92.534	92.390	93.624	93.717	95.167	94.882	96.230	92.108	93.854	86.251	87.375	87.626	97.271	97.579	90.895	32.393	NA	32.409	32.230	31.810	29.431	28.892	30.385	275.340	278.636	277.952	279.540	279.139	281.418	280.451	281.668	277.317	277.192	278.223	279.968	278.547	282.252	279.658	282.684	279.220	280.187	279.901	282.682	282.800	284.363	282.789	284.089	281.551	281.129	282.317	283.394	283.861	285.195	283.544	284.409	281.761	283.375	282.379	281.913	284.117	283.139	283.013	287.155	280.525	284.382	282.007	282.588	284.153	283.626	285.241	286.673	284.774	285.938	287.915	286.992	288.629	290.025	289.624	289.331	286.799	288.201	288.077	288.326	289.379	290.623	288.904	291.483
105.862	107.451	107.116	107.957	108.704	109.543	108.878	109.663	105.818	107.514	106.957	108.765	108.757	109.190	108.838	109.762	106.719	101.628	108.029	102.655	109.054	110.209	109.956	105.105	106.850	101.649	101.284	109.116	109.034	110.158	103.755	105.086	91.091	92.419	92.519	93.612	93.666	95.080	94.616	95.400	90.941	92.369	92.397	93.360	93.459	94.604	94.633	95.980	86.118	86.180	86.148	94.634	94.804	96.680	96.945	97.762	32.426	32.500	NA	32.264	32.360	30.992	31.397	29.821	276.499	275.991	276.658	278.345	278.088	277.954	277.784	279.472	276.193	276.884	277.646	277.368	277.556	278.555	279.891	279.578	279.535	280.668	279.564	282.152	282.102	283.722	281.997	282.934	280.257	281.014	279.865	282.837	282.939	284.630	282.685	284.976	279.092	280.618	280.953	281.261	282.081	282.504	282.635	285.242	280.714	282.488	281.278	283.603	282.452	283.319	283.163	285.976	284.044	286.309	285.449	287.877	286.538	289.358	287.232	289.802	285.301	286.930	285.621	286.383	289.558	289.786	288.223	290.097
107.527	109.000	108.850	109.423	109.842	110.823	110.478	111.931	107.745	108.965	108.627	109.622	109.839	111.055	110.500	111.935	108.342	103.372	109.213	104.345	104.388	105.803	111.647	106.766	101.956	103.359	103.517	104.339	110.597	111.914	105.554	112.730	92.222	93.641	93.421	94.737	94.883	96.384	95.986	97.283	92.172	93.872	93.302	94.909	95.050	96.416	96.070	97.288	86.297	95.069	87.340	96.836	97.254	90.939	97.768	91.786	32.476	32.115	32.222	NA	29.746	30.375	30.025	31.211	276.287	277.416	277.529	278.407	279.037	279.716	279.553	282.249	276.930	279.857	277.919	280.990	279.449	282.924	282.541	281.076	281.031	281.291	280.957	283.789	283.881	284.416	284.870	286.027	281.937	283.435	283.514	282.968	283.684	284.878	284.850	285.528	281.886	284.184	282.094	284.926	284.594	285.787	283.898	285.225	281.991	284.783	284.215	283.786	285.476	284.608	285.751	287.594	287.634	288.755	287.084	287.557	289.308	289.211	289.263	292.061	288.115	289.108	287.963	289.984	288.983	291.260	289.889	292.784
107.382	108.685	108.359	109.392	109.762	110.690	110.653	111.537	107.277	108.938	108.411	109.536	109.408	110.980	110.693	111.647	101.870	109.004	103.183	104.059	104.241	105.850	111.109	106.497	102.060	109.109	103.262	110.004	104.179	111.429	111.092	106.490	92.527	94.106	93.668	94.997	95.250	96.376	96.385	97.292	92.343	94.188	93.615	94.912	95.299	96.877	96.303	97.726	86.368	95.402	94.947	97.174	89.556	97.994	90.691	92.069	32.415	32.125	32.396	29.566	NA	30.872	30.513	31.262	275.845	276.773	276.658	280.204	280.213	279.409	281.343	283.394	278.280	280.101	277.420	281.059	280.971	282.458	282.714	280.881	281.467	282.930	280.823	283.862	282.420	285.306	284.559	284.892	280.891	281.708	283.309	284.601	284.666	284.182	285.357	285.073	281.973	284.469	282.140	282.559	285.225	286.188	283.654	286.687	282.332	284.704	284.222	283.214	283.524	284.103	284.595	287.474	286.926	289.718	288.683	289.510	287.772	290.540	288.395	291.997	287.797	289.102	289.157	290.259	288.837	289.232	289.577	292.559
109.163	109.776	109.573	110.828	110.999	112.189	111.889	113.089	109.005	109.817	109.610	110.808	111.055	112.275	111.900	113.081	109.233	110.609	110.319	105.903	106.023	107.183	106.963	114.018	109.367	110.617	104.399	111.697	106.006	113.005	106.951	108.458	93.840	95.184	94.912	96.465	96.802	97.656	97.745	98.089	93.484	95.215	94.909	96.454	96.794	97.651	97.475	98.095	94.864	89.733	96.677	90.914	91.088	92.381	98.194	98.371	32.287	29.449	31.164	30.404	30.861	NA	32.037	33.124	279.125	279.358	280.114	281.223	281.916	280.865	280.761	284.556	279.814	281.276	279.091	282.243	280.204	283.813	283.023	282.460	281.417	284.477	284.279	283.261	283.538	285.135	284.956	286.029	282.059	282.959	283.127	284.730	284.557	287.161	286.714	288.181	283.471	285.872	283.095	284.285	284.627	285.189	285.401	286.166	284.067	283.918	284.242	287.057	285.798	288.196	287.568	289.723	287.013	287.996	288.270	291.247	289.553	290.344	291.567	290.207	287.835	288.727	289.894	291.185	291.366	290.379	292.131	291.169
108.562	109.452	109.198	110.411	110.551	111.840	111.516	112.695	108.620	109.468	109.195	110.445	110.526	111.942	111.570	112.706	103.338	110.249	110.042	105.504	111.362	106.801	106.541	113.495	103.172	104.273	109.892	111.202	111.331	106.778	112.351	107.856	93.389	94.831	94.607	95.898	96.037	97.532	97.712	98.137	93.322	94.888	94.239	95.980	96.140	97.793	97.620	98.016	87.291	89.165	89.034	97.848	90.809	98.228	91.620	92.937	32.397	28.880	31.570	29.998	30.507	32.022	NA	32.659	276.848	280.623	278.266	281.674	281.097	282.985	280.102	281.257	279.499	280.802	280.522	280.147	280.628	281.046	282.876	282.731	280.824	281.772	283.406	284.763	283.772	285.714	284.621	286.792	282.960	284.557	284.183	284.012	285.595	286.999	285.708	286.299	282.456	282.493	282.856	283.437	285.731	286.367	285.296	285.919	283.460	284.171	284.990	286.417	284.637	285.440	285.545	288.776	287.589	289.681	288.871	288.821	290.544	289.967	291.040	292.630	287.636	290.426	288.571	290.924	290.960	292.408	291.802	293.437
109.597	111.011	110.280	111.860	111.797	113.044	113.052	113.859	109.486	110.547	110.550	111.522	111.940	112.954	112.882	113.902	104.137	105.588	111.385	112.601	112.753	113.968	107.712	108.750	104.253	105.608	111.425	106.630	106.943	108.134	107.718	114.851	94.764	96.701	95.465	97.284	97.195	98.094	98.106	98.717	94.374	96.196	95.905	97.310	97.670	98.040	98.149	98.737	95.804	90.823	90.525	91.749	91.961	98.283	93.040	94.350	28.549	30.369	29.825	31.191	31.255	33.131	32.677	NA	278.394	279.731	280.865	282.347	282.602	282.082	281.620	284.639	279.115	280.065	281.568	281.029	282.898	284.719	284.086	285.741	283.301	285.158	284.516	286.065	285.895	286.018	285.954	286.869	283.945	284.071	284.016	285.246	286.670	286.837	287.721	288.854	284.700	284.268	285.337	287.249	285.792	288.626	286.042	289.250	283.773	284.875	284.922	288.482	286.436	286.740	288.379	290.736	288.674	290.366	290.100	289.995	291.471	292.760	290.965	293.350	290.174	291.226	291.327	290.311	290.955	293.384	292.921	294.010
282.056	283.361	284.303	277.231	276.948	285.494	277.860	286.683	273.977	275.728	283.138	276.458	276.440	277.752	284.175	278.837	285.690	287.228	286.836	281.361	288.671	282.881	281.804	290.481	285.696	279.560	286.957	288.203	288.665	283.153	281.956	289.593	267.920	269.259	269.190	270.982	278.115	279.536	271.247	280.561	275.623	268.923	269.001	277.945	270.284	271.893	272.189	273.183	280.097	280.512	272.888	282.210	282.344	283.463	283.309	277.316	272.060	273.675	280.464	274.695	274.643	283.550	275.699	276.944	NA	32.433	32.378	32.536	32.528	32.341	32.432	28.655	85.959	92.236	92.160	86.662	86.861	95.472	88.768	90.060	89.955	91.458	91.068	92.418	92.629	93.577	93.701	94.543	90.846	91.900	92.140	92.986	93.241	94.316	93.962	95.135	99.640	101.054	107.439	108.589	108.708	109.879	102.937	110.722	107.031	101.497	101.179	109.124	109.278	103.692	110.100	104.947	105.110	106.149	105.874	106.980	108.045	108.183	108.714	109.664	105.508	106.667	106.497	108.414	107.874	109.512	108.636	110.378
275.864	284.840	277.371	278.987	286.083	280.138	286.926	280.952	283.537	278.639	277.337	278.843	285.819	280.312	287.260	288.112	287.377	281.443	281.203	282.705	282.595	290.974	290.836	292.117	280.201	288.571	288.335	282.777	282.517	284.595	283.403	291.918	269.650	271.407	278.055	272.290	272.338	273.847	273.464	274.998	276.824	271.762	271.226	279.763	273.124	273.910	273.342	281.735	281.222	275.312	275.085	283.969	283.161	278.033	284.725	286.006	281.189	275.394	274.772	274.593	275.645	277.457	283.884	285.547	32.627	NA	32.646	32.403	32.197	29.499	28.981	30.492	86.056	86.928	86.767	88.741	88.861	90.620	97.589	97.870	91.303	92.680	92.627	93.749	93.896	95.394	95.018	96.409	92.040	93.460	93.159	94.581	94.791	96.143	95.886	97.367	101.174	102.788	108.865	103.519	103.752	105.068	110.839	105.948	101.797	103.201	103.225	104.192	110.524	111.879	105.689	112.769	106.735	107.851	107.489	108.899	109.063	109.905	109.761	111.155	107.228	108.706	108.570	109.476	109.549	110.493	110.542	111.518
274.915	284.580	276.159	285.842	285.663	287.291	278.481	279.735	274.765	284.676	276.099	277.823	278.167	279.304	278.734	287.914	286.307	279.412	279.744	280.345	288.587	282.305	288.818	290.578	286.300	287.607	279.156	288.874	288.578	281.987	288.804	282.917	276.735	277.946	277.774	271.963	272.787	280.231	280.224	281.418	276.632	277.851	277.975	278.964	279.246	273.375	272.429	273.758	271.934	281.403	272.370	282.359	282.733	275.846	283.798	284.716	271.663	280.843	281.524	274.838	274.912	283.672	283.493	284.924	32.374	32.526	NA	32.278	32.501	31.237	31.664	29.868	86.079	94.393	94.048	95.368	88.831	90.250	89.729	91.233	91.142	92.552	92.394	93.444	93.483	95.036	94.752	95.566	91.996	93.111	92.709	94.297	94.535	95.382	95.150	96.369	100.613	108.417	108.045	102.786	109.153	103.922	110.142	111.318	107.615	102.661	102.270	103.489	103.613	110.986	110.784	105.738	105.857	106.854	106.954	108.520	107.965	109.020	109.092	110.145	106.543	108.067	107.268	108.890	108.615	110.032	109.119	110.380
285.352	278.697	285.762	287.362	287.510	289.211	288.554	290.070	284.962	286.103	278.190	279.705	279.967	289.026	288.963	289.686	280.410	289.314	289.046	282.443	290.143	291.397	291.166	284.517	279.712	281.931	281.053	282.397	290.185	291.163	291.374	284.615	278.337	272.199	279.208	280.860	280.977	281.987	281.909	283.155	270.984	279.702	279.841	281.541	281.179	281.950	274.412	282.627	274.248	283.296	283.308	277.010	284.532	285.541	285.628	279.335	273.908	275.941	284.067	276.620	277.310	278.182	285.370	279.024	32.505	32.190	32.386	NA	29.823	30.571	30.065	31.293	94.263	88.726	88.251	90.074	97.656	97.968	97.905	98.353	92.321	93.759	93.391	94.854	95.195	96.485	96.086	97.361	92.794	94.497	94.395	95.462	95.767	97.190	97.072	97.771	102.221	103.505	109.324	104.571	104.532	106.070	111.660	106.955	103.120	104.103	109.962	105.274	105.466	112.639	112.373	107.708	107.328	108.731	108.863	109.569	109.694	110.776	110.630	111.627	108.485	109.087	109.006	110.019	110.404	111.426	111.116	112.642
285.125	278.733	285.932	286.669	286.997	288.547	287.936	282.259	285.930	278.956	278.154	280.269	286.884	281.653	281.077	289.348	280.193	281.654	288.792	289.470	282.490	290.807	290.581	291.569	287.658	282.341	289.023	282.526	290.251	283.525	290.705	284.503	278.061	272.179	279.898	280.629	273.540	274.768	281.440	282.559	278.081	279.382	272.076	273.311	280.601	274.777	274.322	275.438	281.439	282.575	275.055	283.586	284.239	285.101	284.950	279.524	281.705	275.539	283.028	283.429	284.041	278.809	284.724	279.131	32.557	32.180	32.478	29.826	NA	30.923	30.534	31.299	86.930	89.050	96.459	97.666	97.895	91.716	98.123	98.255	92.709	93.883	93.669	95.000	95.191	96.424	96.111	97.832	93.011	94.768	94.322	95.459	95.757	97.708	97.695	97.574	108.323	103.574	109.116	104.382	104.680	111.595	105.673	112.552	102.787	103.939	103.712	105.260	110.951	106.627	106.468	113.447	107.228	108.702	108.182	109.194	109.485	110.641	110.387	111.566	107.938	108.998	108.889	109.958	109.942	111.193	110.878	112.255
278.577	280.273	280.814	288.803	281.171	289.470	282.389	283.894	286.045	287.247	287.096	288.237	288.711	282.761	283.400	283.685	288.984	282.692	282.322	291.471	291.483	285.373	291.708	293.791	281.404	290.343	290.174	291.626	284.461	292.626	285.172	286.714	279.964	280.990	280.947	282.096	274.819	283.045	283.000	276.821	272.117	280.986	280.872	282.187	274.525	276.294	283.304	284.230	274.878	283.825	285.009	277.989	285.730	279.082	279.009	280.495	283.615	283.637	276.879	278.225	285.694	278.912	278.537	280.080	32.323	29.467	31.205	30.481	30.945	NA	31.996	33.132	95.645	90.530	90.188	97.998	98.105	98.298	98.259	93.968	93.776	95.255	94.696	96.604	96.907	97.734	97.659	98.210	94.550	95.968	95.837	97.128	97.290	98.073	98.006	98.793	109.515	110.739	104.562	105.958	106.273	107.306	107.099	114.025	109.972	111.348	111.168	112.475	112.582	108.184	113.535	114.916	108.587	109.679	109.419	110.607	110.858	112.056	111.904	113.038	109.084	110.399	110.059	111.380	111.516	112.735	112.425	113.994
285.935	287.161	279.297	287.803	280.708	289.467	289.258	283.648	285.958	279.781	287.146	280.666	288.082	289.511	289.891	283.562	287.823	282.625	289.720	290.837	290.967	292.556	285.109	293.007	288.315	290.292	289.918	283.740	290.907	292.058	284.938	292.994	271.680	274.264	280.851	274.229	282.299	282.633	274.825	276.838	279.488	273.415	280.739	274.439	274.520	282.754	282.755	276.844	283.441	277.069	284.097	277.987	278.026	286.096	278.236	287.272	283.354	277.726	284.433	284.939	284.373	286.152	285.890	286.946	32.341	28.859	31.306	30.004	30.574	32.013	NA	32.725	88.342	90.093	89.570	98.003	91.287	98.298	92.495	93.697	93.461	94.929	94.728	95.995	96.381	97.911	97.631	98.072	93.910	95.506	95.405	97.040	97.515	97.876	98.006	98.378	103.445	104.601	110.090	105.757	105.889	112.730	112.510	108.095	103.821	105.413	110.892	112.110	112.255	113.546	107.539	114.523	108.702	109.405	109.176	110.494	110.514	111.734	111.462	112.673	109.050	110.159	109.912	111.033	111.230	112.565	112.055	113.390
279.495	289.586	282.293	283.638	290.443	283.728	282.943	284.459	286.843	280.438	280.710	289.627	282.280	290.951	283.290	284.714	290.835	291.203	290.325	292.354	284.941	293.448	293.169	294.709	282.574	291.257	283.182	284.925	285.199	293.456	285.708	287.136	272.810	274.568	282.440	275.308	283.214	276.853	284.227	277.506	272.062	282.139	274.767	275.408	275.167	276.811	284.083	284.762	276.077	285.226	277.152	286.907	286.586	279.562	287.129	289.220	275.693	277.555	284.953	278.751	278.940	287.702	286.698	280.737	28.571	30.480	29.885	31.324	31.318	33.199	32.763	NA	89.833	91.462	91.224	92.615	92.722	99.727	93.602	100.830	94.840	96.777	95.580	97.440	97.808	98.386	98.300	98.808	95.322	97.109	97.048	97.752	98.161	98.873	98.568	99.942	110.387	105.834	111.541	106.829	112.911	108.272	107.968	115.161	111.025	106.503	106.306	107.456	113.562	114.794	108.777	109.529	109.358	110.412	110.102	111.436	111.528	112.998	112.714	114.051	109.996	111.070	110.806	112.334	112.472	113.488	113.194	114.678
283.043	284.270	284.338	285.127	285.238	278.716	286.443	279.491	274.412	276.269	276.745	277.808	285.170	287.562	278.373	287.185	285.469	286.964	286.946	279.780	288.132	288.841	281.050	282.897	277.781	286.151	287.085	287.688	279.924	289.257	288.721	289.847	267.800	270.547	269.582	278.526	279.002	272.462	279.334	271.650	276.356	277.626	269.277	278.412	278.964	279.697	272.206	273.913	280.128	281.963	282.136	275.843	276.375	284.557	284.358	278.485	273.153	281.417	273.952	275.838	283.513	284.608	284.361	279.025	85.957	92.237	92.203	86.700	94.524	88.920	95.349	97.083	NA	32.442	32.437	32.459	32.489	32.260	32.412	28.614	90.788	92.142	92.078	92.679	93.069	94.577	94.244	95.022	91.253	92.617	92.407	93.684	93.789	94.708	94.480	95.724	99.947	101.308	107.397	108.714	102.491	109.661	109.308	104.752	107.022	108.339	101.756	103.124	103.207	110.394	103.820	111.390	105.146	106.519	106.468	107.498	107.543	108.700	108.821	109.163	105.879	107.313	107.005	108.008	108.647	109.068	109.040	109.888
278.105	279.084	285.698	280.493	287.146	288.954	287.999	282.557	284.851	279.301	278.637	280.190	287.721	288.371	288.156	289.181	280.831	289.241	281.886	289.827	289.414	292.071	284.149	292.219	288.259	289.136	281.786	283.161	283.252	284.592	292.023	292.759	278.265	272.564	279.658	273.308	280.899	274.991	274.453	276.291	270.430	279.254	271.307	273.092	280.688	281.802	274.475	282.380	282.098	284.317	276.441	278.030	277.777	286.217	286.494	287.488	274.870	276.963	276.900	277.840	277.719	286.527	286.370	280.546	86.115	94.677	86.792	88.725	96.341	90.552	90.101	97.876	32.404	NA	32.501	32.307	32.073	29.433	28.792	30.387	92.034	93.357	93.014	94.449	94.640	95.877	95.664	97.004	92.501	94.040	93.660	95.154	95.304	96.805	96.630	97.444	101.735	103.319	103.233	110.053	104.176	105.748	111.073	112.361	102.535	109.713	109.481	105.091	111.210	112.233	106.074	107.153	107.126	108.529	108.419	109.070	109.237	110.460	110.139	111.453	107.641	108.959	108.977	109.709	109.871	111.095	111.063	112.216
277.355	285.821	278.806	279.922	280.120	287.420	280.480	288.577	283.853	278.349	284.162	286.008	279.363	287.687	280.594	288.367	287.972	288.957	281.313	289.089	289.816	290.786	283.917	292.118	287.910	281.934	281.467	282.679	283.183	290.975	290.737	291.782	277.688	271.819	279.142	280.053	273.063	281.433	281.074	275.907	277.867	279.226	279.329	280.086	273.060	275.459	281.470	275.832	274.826	276.494	283.735	277.360	278.009	286.077	278.938	287.529	282.157	276.677	283.603	277.310	285.025	278.812	278.451	286.249	86.052	86.775	86.650	88.363	96.385	90.186	89.533	91.167	32.453	32.510	NA	32.298	32.465	31.460	31.685	29.797	91.968	93.017	92.847	94.248	94.239	95.554	95.221	96.763	92.373	93.716	93.343	94.879	94.982	96.557	96.174	97.291	107.551	103.148	102.642	109.814	103.898	105.287	105.000	106.234	102.118	109.422	109.261	104.673	110.551	111.722	105.669	112.800	106.683	108.131	107.774	108.968	109.011	110.068	109.711	110.999	107.282	108.856	108.730	109.666	109.600	110.849	110.469	111.666
285.730	287.151	286.729	280.921	280.845	283.303	281.843	283.697	285.724	280.157	286.992	288.310	280.887	282.710	281.811	290.297	281.822	290.269	282.933	284.134	284.306	292.447	291.407	286.740	281.404	290.581	282.618	284.071	291.420	292.425	284.759	292.592	279.050	272.915	273.716	273.862	274.317	275.891	275.101	276.929	279.374	272.849	280.431	282.137	274.177	276.406	275.666	276.928	283.864	284.540	277.308	286.181	279.102	287.739	279.730	280.772	283.666	277.676	284.502	278.928	286.654	280.195	287.797	287.966	86.663	88.814	95.338	97.233	97.659	91.534	91.283	98.201	32.494	32.168	32.103	NA	29.712	30.451	30.041	31.204	92.800	94.453	94.176	95.361	95.397	97.006	97.025	97.572	93.633	95.094	94.807	96.201	96.620	97.395	97.365	98.060	108.910	104.271	109.902	105.136	111.361	106.563	112.246	107.459	109.396	110.868	110.546	111.934	105.966	113.187	112.984	114.289	108.253	109.008	109.038	109.951	110.244	111.381	110.987	112.278	108.979	109.762	109.333	110.870	110.748	112.269	111.985	113.091
278.434	287.565	287.615	281.036	288.879	282.571	289.717	290.756	286.188	287.582	279.777	288.714	281.797	289.955	283.297	283.497	289.303	283.050	290.745	284.313	284.148	285.853	292.780	293.837	281.626	283.527	290.551	291.472	284.196	285.498	292.212	286.801	279.931	281.177	281.398	282.065	274.256	275.983	283.206	277.793	280.353	273.106	272.925	282.169	282.392	283.233	275.111	284.000	275.969	277.992	285.671	279.511	287.197	280.278	279.852	281.235	284.296	278.165	285.606	279.030	279.401	280.291	279.780	288.912	94.497	88.902	95.706	90.221	97.892	91.685	91.429	98.221	32.571	32.200	32.475	29.719	NA	30.886	30.502	31.284	93.076	94.684	94.382	95.862	95.792	97.310	97.428	98.078	93.856	95.399	95.060	96.646	97.084	97.911	97.633	98.112	103.097	104.232	103.898	111.700	105.615	113.217	112.799	107.824	110.001	105.151	104.894	106.148	106.315	107.542	113.629	108.610	108.795	109.179	109.070	110.778	110.268	112.113	111.776	112.510	108.869	109.807	109.548	111.410	110.979	112.247	111.950	113.286
287.894	282.320	281.542	282.496	282.360	291.739	283.402	293.132	280.618	289.455	281.687	283.113	282.341	291.514	291.253	292.509	282.666	292.208	292.211	285.319	293.363	294.492	286.368	295.602	290.663	292.336	283.938	292.228	285.581	294.743	294.127	295.925	281.250	283.285	282.555	283.531	282.857	284.885	284.854	285.540	272.531	282.820	282.549	275.349	283.757	277.887	276.371	278.322	285.820	287.574	278.778	280.355	288.420	289.444	289.044	290.503	277.364	278.939	278.681	288.256	289.187	281.534	281.414	290.499	95.530	97.642	90.288	91.615	98.187	98.251	98.247	93.983	32.298	29.551	31.294	30.448	30.884	NA	32.016	33.150	94.210	95.971	95.592	97.094	97.542	98.000	97.899	98.652	95.060	96.804	96.515	97.407	97.917	98.448	98.253	99.604	110.878	105.566	112.126	106.683	113.536	108.011	107.709	115.615	111.642	106.262	106.004	107.243	107.539	108.714	115.091	116.472	109.027	111.270	110.982	111.381	111.497	112.944	113.386	114.566	110.580	112.063	111.845	112.123	112.169	114.370	113.163	115.266
286.834	289.410	280.674	288.176	289.746	283.373	283.329	291.057	279.202	288.021	287.669	288.903	289.280	290.534	283.082	291.606	282.430	284.757	283.697	285.005	292.081	286.447	293.296	294.128	290.281	291.160	284.011	285.610	285.182	286.536	286.713	287.185	280.145	281.787	281.370	282.750	275.094	276.749	283.734	284.338	272.116	281.473	281.751	282.915	275.079	283.751	283.584	277.972	277.094	278.701	278.376	287.389	287.481	281.841	288.555	282.097	284.027	278.795	278.081	280.072	280.267	288.559	280.854	289.452	95.270	97.610	89.711	91.174	91.466	92.656	92.445	93.545	32.442	28.861	31.597	30.056	30.488	31.998	NA	32.680	94.184	95.596	94.959	96.938	96.861	97.972	98.027	98.363	94.924	96.571	96.220	97.446	97.631	98.327	98.181	99.322	109.762	111.108	105.158	106.443	112.295	113.726	113.202	108.829	104.312	111.801	111.534	112.782	112.999	108.728	108.418	115.238	108.943	110.069	109.829	111.185	111.210	112.472	112.141	113.338	109.352	110.747	110.501	111.830	112.015	113.162	112.826	114.163
